movie_title,content_rating,runtime,production_company,audience_rating
Captain America: Civil War,PG-13,146,Disney,89
Captain America: The First Avenger,PG-13,124,Paramount,74
Captain America: The Winter Soldier,PG-13,135,Disney,92
Captain Corelli's Mandolin,R,127,Universal Pictures,50
Captain Marvel,PG-13,124,Marvel Studios,47
Captain Phillips,PG-13,133,Sony,89
Captain Ron,PG-13,100,Buena Vista,52
Carlito's Way,R,144,MCA Universal Home Video,91
Carol,R,118,The Weinstein Company,74
Carrie(1976),R,98,United Artists Pictures,77
Carrie(2002),NR,150,NBC,50
Carrie(2013),R,99,Sony,44
Carriers,PG-13,84,Paramount,39
Cars,G,117,Buena Vista,79
Cars 2,G,107,Disney,49
Cars 3,G,109,Disney,69
Casablanca,PG,102,Warner Bros.,95
Casanova,R,111,Buena Vista,58
Case 39,R,109,Paramount,39
Cashback,R,102,Magnolia Pictures,77
Casino,R,177,Universal Pictures,93
Casino Royale(1967),G,131,Columbia Pictures,34
Casino Royale(2006),PG-13,144,Sony,89
Casper,PG,100,Universal Pictures,49
Casper: A Spirited Beginning,PG,94,20thCenturyFox,41
Cassandra's Dream,PG-13,108,The Weinstein Company,49
Cast Away,PG-13,143,20thCenturyFox,84
Cat on a Hot Tin Roof,PG,108,MGM,92
Catch Me If You Can,PG-13,140,Dreamworks,89
Catch a Fire,PG-13,102,Focus Features,71
Catch and Release,PG-13,111,Sony,55
Catfish,PG-13,88,Universal Pictures,71
Cats & Dogs,PG,87,Warner Bros.,32
Cats & Dogs: The Revenge of Kitty Galore,PG,82,Warner Bros.,38
Cats: The Musical,G,115,PolyGram,80
Catwoman,PG-13,104,Warner Bros.,18
Cedar Rapids,R,87,20thCenturyFox,59
Cellular,PG-13,92,New Line Cinema,59
Center Stage,PG-13,114,Columbia Pictures,82
Central Intelligence,PG-13,107,Warner Bros.,61
Centurion,R,97,Magnolia Pictures,43
Chain Reaction,PG-13,106,20thCenturyFox,27
Changeling,R,141,Universal Pictures,82
Changing Lanes,R,98,Paramount,53
Chaplin,PG-13,144,Columbia Pictures,81
Chappie,R,120,Sony,56
Chariots of Fire,PG,123,20thCenturyFox,80
Charlie Bartlett,R,98,MGM,71
Charlie St. Cloud,PG-13,99,Universal Pictures,60
Charlie Wilson's War,R,102,Universal Pictures,73
Charlie and the Chocolate Factory,PG,115,Warner Bros.,51
Charlie's Angels,PG-13,98,Columbia Pictures,45
Charlie's Angels - Full Throttle,PG-13,111,Columbia Pictures,40
Charlotte's Web(1973),G,93,Paramount,67
Charlotte's Web(2006),G,98,Paramount,62
Chasing Amy,R,111,Miramax Films,83
Chasing Liberty,PG-13,110,Warner Bros.,60
Cheaper by the Dozen(2003),PG,98,20thCenturyFox,56
Cheaper by the Dozen(1950),PG,85,20thCenturyFox,66
Cheaper by the Dozen 2,PG,94,20thCenturyFox,57
Cheech and Chong's Nice Dreams,R,87,Columbia Pictures,68
Chef,R,115,Open Road Films,85
Chernobyl Diaries,R,86,Warner Bros.,28
Chicago,PG-13,113,Miramax Films,83
Chicken Little,G,81,Buena Vista,47
Chicken Run,G,85,Dreamworks,64
Child's Play,R,87,United Artists Pictures,63
Child's Play 2,R,84,MCA Universal Home Video,47
Child's Play 3,R,89,MCA Universal Home Video,33
Children of Men,R,109,Universal Pictures,85
Children of the Corn,R,93,New World Video,40
Chinatown,R,131,Paramount,93
Chitty Chitty Bang Bang,G,145,United Artists Pictures,71
Chloe,R,96,Sony,39
Chocolat,PG-13,121,Miramax Films,83
Choke,R,92,20thCenturyFox,52
Chopper,R,94,First Look Pictures,89
Christine,R,110,Sony,64
Christmas With the Kranks,PG,98,Sony,38
Chronicle,PG-13,84,20thCenturyFox,71
Cidade de Deus (City of God),R,131,Miramax Films,97
Cinderella(an),G,74,Disney,80
Cinderella(Live_action),PG,105,Disney,78
Cinderella II: Dreams Come True,G,73,Disney,32
Cinderella III: A Twist in Time,G,70,Disney,61
Cinderella Man,PG-13,144,Universal Pictures,91
Cinema Paradiso (Nuovo Cinema Paradiso),R,123,Miramax Films,97
Cirque du Freak: The Vampire's Assistant,PG-13,109,Universal Pictures,42
Citizen Kane,PG,119,RKO,90
City Island,PG-13,103,Anchor Bay Entertainment,79
City Lights,G,87,United Artists Pictures,96
City Slickers,PG-13,112,Columbia Pictures,64
City Slickers 2 - The Legend of Curly's Gold,PG-13,116,Sony,31
City of Angels,PG-13,117,Warner Bros.,82
City of Ember,PG,95,20thCenturyFox,46
Civic Duty,R,98,Freestyle Releasing,33
Clash of the Titans(1981),PG,118,Warner Bros.,70
Clash of the Titans(2010),PG-13,106,Warner Bros.,40
Clear and Present Danger,PG-13,141,Paramount,74
Clerks,R,91,Miramax Films,89
Clerks II,R,92,MGM,84
Click,PG-13,108,Sony,66
Cliffhanger,R,112,TriStar Pictures,52
Clockstoppers,PG,94,Paramount,30
Close Encounters of the Third Kind,PG,135,Sony,85
Closer,R,101,Sony,81
Cloud Atlas,R,172,Warner Bros.,66
Cloudy With a Chance of Meatballs,PG,90,Sony,72
Cloudy with a Chance of Meatballs 2,PG,95,Sony,66
Cloverfield,PG-13,85,Paramount,68
Club Dread,R,103,20thCenturyFox,44
Clue,PG,96,Paramount,86
Clueless,PG-13,97,Paramount,76
Coach Carter,PG-13,136,Paramount,85
Coal Miner's Daughter,PG,125,MCA Universal Home Video,86
Cobra,R,83,Warner Bros.,42
Cocaine Cowboys,R,116,Magnolia Pictures,79
Cocktail,R,104,Touchstone Pictures,58
Coco,PG,109,Disney,94
Coco Before Chanel,PG-13,105,Sony,57
Code Name: The Cleaner,PG-13,91,New Line Cinema,38
Coffee and Cigarettes,R,96,MGM,75
Cold Creek Manor,R,119,Buena Vista,23
Cold Mountain,R,155,Miramax Films,77
Cold Souls,PG-13,101,IDP ,54
Collateral,R,120,Paramount,84
Collateral Damage,R,109,Warner Bros.,27
College,R,94,MGM,27
College Road Trip,G,83,Buena Vista,50
Colombiana,PG-13,107,Sony,67
Colors,R,120,Orion Pictures Corporation,72
Coming to America,R,116,Paramount,85
Commando,R,90,20thCenturyFox,67
Con Air,R,115,Disney,75
Conan the Barbarian(1982),R,129,Universal Pictures,74
Conan the Barbarian(2011),R,113,Lionsgate Films,30
Conan the Destroyer,PG,101,MCA Universal Home Video,38
Concussion,PG-13,121,Sony,74
Coneheads,PG,88,Paramount,37
Confessions of a Dangerous Mind,R,113,Miramax Films,75
Confessions of a Shopaholic,PG,105,Disney,49
Confessions of a Teenage Drama Queen,PG,89,Touchstone Pictures,35
Congo,PG-13,103,Paramount,29
Conspiracy Theory,R,129,Warner Bros.,64
Constantine,R,120,Warner Bros.,72
Contact,PG,150,Warner Bros.,78
Contagion,PG-13,106,Warner Bros.,63
Contraband,R,110,Universal Pictures,57
Control,R,121,The Weinstein Company,89
Conviction,R,106,20thCenturyFox,70
Cool Hand Luke,PG,129,Warner Bros.,95
Cool Runnings,PG,97,Disney,81
Cool World,PG-13,102,Paramount,31
Cop Land,R,105,Miramax Films,67
Cop Out,R,103,Warner Bros.,40
Copycat,R,123,Warner Bros.,64
Coraline,PG,100,Focus Features,73
Corky Romano,PG-13,86,Buena Vista,39
"Corrina, Corrina",PG,114,Turner Entertainment,69
Country Strong,PG-13,117,Screen Gems,53
Couples Retreat,PG-13,114,Universal Pictures,39
Courage Under Fire,R,115,Columbia Pictures,66
Courageous,PG-13,130,Sony,86
Cowboys & Aliens,PG-13,118,Universal Pictures,43
Coyote Ugly,PG-13,100,Buena Vista,71
Cradle 2 the Grave,R,99,Warner Bros.,52
Crank,R,83,Lionsgate Films,71
Crank 2: High Voltage,R,97,Lionsgate Films,49
Crash,R,112,Lionsgate Films,88
Crazy Heart,R,112,20thCenturyFox,76
"Crazy, Stupid, Love.",PG-13,118,Warner Bros.,78
Crazy/Beautiful,PG-13,99,Touchstone Pictures,69
Creed,PG-13,133,Warner Bros.,89
Creepshow,R,117,Warner Bros.,68
Crimson Peak,R,119,Universal Pictures,55
Crimson Tide,R,115,Buena Vista,83
Critters,PG-13,84,Sony,45
Crocodile Dundee,PG-13,97,Paramount,59
Crocodile Dundee II,PG,112,Paramount,38
Crocodile Dundee in Los Angeles,PG,92,Paramount,25
Crossing Over,R,114,The Weinstein Company,49
Crossover,PG-13,95,Sony,59
Crossroads,PG-13,94,Paramount,40
"Crouching Tiger, Hidden Dragon",PG-13,120,Sony,86
Cruel Intentions,R,97,Columbia Pictures,81
Cruel Intentions 2,R,87,Sony,21
Cry-Baby,PG-13,85,Universal Pictures,77
Cry_Wolf,PG-13,89,Rogue Pictures,51
Cube,R,90,Trimark Pictures,76
Cujo,R,91,Warner Bros.,45
Curious George,G,87,Universal Pictures,69
Curly Sue,PG,102,Warner Bros.,50
Curse of the Golden Flower,R,114,Sony,65
Cursed,R,97,Dimension Films,30
Cyrus,R,91,20thCenturyFox,53
D2: The Mighty Ducks,PG,106,Buena Vista,59
D3: The Mighty Ducks,PG,104,Buena Vista,45
DOA: Dead or Alive,PG-13,90,The Weinstein Company,36
Daddy Day Camp,PG,89,Sony,38
Daddy Day Care,PG,92,Sony,48
Daddy's Home,PG-13,96,Paramount,49
Daddy's Little Girls,PG-13,95,Lionsgate Films,81
Dai-Nipponjin (Big Man Japan),PG-13,113,Magnet Releasing,54
Dallas Buyers Club,R,117,Focus Features,91
Damien---Omen II,R,108,20thCenturyFox,49
Dan in Real Life,PG-13,98,Buena Vista,69
Dance Flick,PG-13,83,Paramount,30
Dance with Me,PG,126,Sony,67
Dancer in the Dark,R,140,Fine Line Features,91
Dances With Wolves,PG-13,180,Orion Pictures Corporation,87
Dangerous Liaisons,R,120,Warner Bros.,83
Dangerous Minds,R,99,Disney,64
Dante's Peak,PG-13,108,Universal Pictures,38
Dare,R,90,Image Entertainment,34
Daredevil,PG-13,104,20thCenturyFox,35
Dark City,R,101,New Line Cinema,85
Dark Shadows,PG-13,112,Warner Bros.,46
Dark Skies,PG-13,97,The Weinstein Company,49
Dark Water,PG-13,105,Buena Vista,28
Darkman,R,95,Universal Pictures,59
Darkness,PG-13,88,Miramax Films,30
Darkness Falls,PG-13,85,Sony,34
Date Movie,PG-13,82,20thCenturyFox,35
Date Night,PG-13,88,20thCenturyFox,55
Dave,PG-13,110,Warner Bros.,72
Dave Chappelle's Block Party,R,103,Rogue Pictures,74
Dawn Of The Planet Of The Apes,PG-13,130,20thCenturyFox,88
Dawn of the Dead,R,100,Universal Pictures,77
Day Watch,R,139,20thCenturyFox,68
Day of the Dead,R,102,United Artists Pictures,75
Daybreakers,R,98,Lionsgate Films,49
Daylight,PG-13,115,MCA Universal Home Video,37
Days of Thunder,R,107,Paramount,60
Dazed and Confused,R,103,Gramercy Pictures,90
Dead Alive,R,101,Trimark Pictures,87
Dead Calm,R,96,Warner Bros.,63
Dead Man,R,134,Miramax Films,88
Dead Man Walking,R,122,Gramercy Pictures,86
Dead Man on Campus,R,93,Paramount,55
Dead Man's Shoes,NR,86,Magnolia Pictures,91
Dead Poets Society,PG,128,Buena Vista,92
Dead Silence,R,89,Universal Pictures,51
Deadpool,R,108,20thCenturyFox,90
Deadpool 2,R,120,20thCenturyFox,85
Dear Frankie,PG-13,105,Miramax Films,90
Dear John,PG-13,107,Screen Gems,55
Death Becomes Her,PG-13,103,Universal Pictures,61
Death Proof,R,114,The Weinstein Company,72
Death Race,R,105,Universal Pictures,60
Death Race 2000,R,78,New World Video,64
Death Sentence,R,110,20thCenturyFox,60
Death at a Funeral(2007),R,90,MGM,79
Death at a Funeral(2010),R,88,Sony,45
Death to Smoochy,R,109,Warner Bros.,66
Deception,R,107,20thCenturyFox,31
Deck the Halls,PG,95,20thCenturyFox,30
Deep Blue Sea,R,105,Warner Bros.,39
Deep Impact,PG-13,120,Paramount,43
Deepwater Horizon,PG-13,107,Lionsgate Films,82
Defiance,R,136,Paramount,72
"Definitely, Maybe",PG-13,112,Universal Pictures,72
Delicatessen,R,98,Lionsgate Films,91
Deliver Us from Evil,R,117,Sony,42
Deliverance,R,109,Warner Bros.,82
Delivery Man,PG-13,105,Disney,47
Delta Farce,PG-13,90,Lionsgate Films,38
Demolition Man,R,114,Warner Bros.,66
Dennis the Menace,PG,96,Warner Bros.,38
Derailed,R,107,The Weinstein Company,58
Desperately Seeking Susan,PG-13,104,MGM,62
Despicable Me,PG,95,Universal Pictures,82
Despicable Me 2,PG,98,Universal Pictures,85
Despicable Me 3,PG,90,Universal Pictures,53
Detroit Rock City,R,95,New Line Cinema,82
Deuce Bigalow: European Gigolo,R,83,Sony,33
Devil,PG-13,80,Universal Pictures,43
Dial M for Murder,PG,105,Warner Bros.,92
Diamonds Are Forever,PG,119,20thCenturyFox,58
Diary of a Mad Black Woman,PG-13,116,Lionsgate Films,87
Diary of a Wimpy Kid,PG,92,20thCenturyFox,49
Diary of a Wimpy Kid 2: Rodrick Rules,PG,95,20thCenturyFox,61
Diary of a Wimpy Kid: Dog Days,PG,94,20thCenturyFox,63
Diary of the Dead,R,95,The Weinstein Company,41
Dick,PG-13,95,Sony,53
Dick Tracy,PG,110,Buena Vista,53
Dickie Roberts: Former Child Star,PG-13,99,Paramount,46
Did You Hear About the Morgans?,PG-13,103,Sony,27
Die Another Day,PG-13,130,MGM,41
Die Hard,R,131,20thCenturyFox,94
Die Hard 2,R,124,20thCenturyFox,70
Die Hard: With a Vengeance,R,128,20thCenturyFox,83
Diminished Capacity,NR,87,IFC Films,37
Dinner for Schmucks,PG-13,114,Paramount,42
Dinosaur,PG,82,Buena Vista,48
Dirty Dancing,PG-13,100,Vestron Pictures,90
Dirty Dancing: Havana Nights,PG-13,86,Artisan,73
Dirty Grandpa,R,102,Lionsgate Films,44
Dirty Harry,R,103,Warner Bros.,90
Dirty Pretty Things,R,94,Miramax Films,82
Dirty Rotten Scoundrels,PG,110,MGM,84
Dirty Work,PG-13,81,MGM,65
Disaster Movie,PG-13,90,Lionsgate Films,21
Disclosure,R,127,Warner Bros.,41
Disney's A Christmas Carol,PG,95,Disney,58
Disneynature Chimpanzee,G,78,Disney,75
Disneynature Earth,G,90,Disney,82
Disneynature Oceans,G,102,Disney,75
District 9,R,111,Sony,82
District B13 (Banlieue 13),R,85,Magnolia Pictures,78
Disturbia,PG-13,105,Dreamworks,77
Disturbing Behavior,R,83,MGM,39
Divergent,PG-13,140,Lionsgate Films,69
Divine Secrets of the Ya-Ya Sisterhood,PG-13,116,Warner Bros.,65
Django Unchained,R,165,The Weinstein Company,91
Do the Right Thing,R,120,Universal Pictures,90
Doc Hollywood,PG-13,103,Warner Bros.,50
Doctor Dolittle,G,152,20thCenturyFox,57
Doctor Strange,PG-13,115,Disney,86
Doctor Zhivago,PG-13,197,MGM,88
Dodgeball - A True Underdog Story,PG-13,92,20thCenturyFox,76
Dog Day Afternoon,R,130,Warner Bros.,90
Dog Soldiers,R,105,Artisan,79
Dogville,R,178,Lionsgate Films,89
Dolores Claiborne,R,131,Sony,81
Dolphin Tale,PG,113,Warner Bros.,80
Dolphin Tale 2,PG,107,Warner Bros.,72
Domestic Disturbance,PG-13,89,Paramount,37
Domino,R,128,New Line Cinema,56
Don Jon,R,89,Relativity Media,58
Don Juan DeMarco,PG-13,90,New Line Cinema,68
Don't Be Afraid Of The Dark,R,99,Miramax Films,34
Don't Be a Menace to South Central While Drinking Your Juice in The Hood,R,88,Miramax Films,80
Don't Say a Word,R,113,20thCenturyFox,49
Don't Tell Mom the Babysitter's Dead,PG-13,105,Warner Bros.,56
Donnie Brasco,R,126,TriStar Pictures,89
Donnie Darko,R,113,Newmarket Films LLC,80
Doogal,G,76,The Weinstein Company,22
Doom,R,104,Universal Pictures,34
Doomsday,R,109,Universal Pictures,44
Dope,R,103,Open Road Films,83
Double Dragon,PG-13,95,MCA Universal Home Video,26
Double Impact,R,108,Sony,42
Double Indemnity,NR,106,Paramount,95
Double Jeopardy,R,105,Paramount,61
Double Team,R,91,Sony,25
Doubt,PG-13,104,Miramax Films,78
Down Periscope,PG-13,92,20thCenturyFox,62
Down With Love,PG-13,94,20thCenturyFox,62
Down in the Valley,R,114,ThinkFilm,53
Down to Earth,PG-13,87,Paramount,40
Down to You,PG-13,92,Miramax Films,49
Downfall (Der Untergang),R,154,Newmarket Films LLC,94
Dr Seuss' The Lorax,PG,86,Universal Pictures,63
Dr. Dolittle,PG-13,85,20thCenturyFox,35
Dr. Dolittle 2,PG,87,20thCenturyFox,26
Dr. No,PG,110,United Artists Pictures,82
Dr. Seuss' Horton Hears a Who!,G,88,20thCenturyFox,73
Dr. Seuss' How the Grinch Stole Christmas,PG,105,Universal Pictures,56
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb,PG,93,Sony,94
Dracula,NR,75,Universal Pictures,81
Dracula - Dead and Loving It,PG-13,90,Warner Bros.,49
Dracula 2000,R,99,Dimension Films,39
Dracula Untold,PG-13,92,Universal Pictures,58
Draft Day,PG-13,109,Summit Entertainment,65
Drag Me to Hell,PG-13,99,Universal Pictures,62
Dragnet,PG-13,106,MCA Universal Home Video,41
Dragon Wars,PG-13,89,Sony,19
Dragon: The Bruce Lee Story,PG-13,121,MCA Universal Home Video,79
Dragonball Evolution,PG,86,20thCenturyFox,20
Dragonheart,PG-13,103,MCA Universal Home Video,60
Dragonheart - A New Beginning,PG,85,Universal Pictures,35
Dream House,PG-13,92,Universal Pictures,36
Dreamcatcher,R,131,Warner Bros.,35
Dreamer: Inspired by a True Story,PG,98,Dreamworks,78
Dreamgirls,PG-13,131,Dreamworks,71
Dredd,R,96,Lionsgate Films,72
Drillbit Taylor,PG-13,102,Paramount,44
Drive,R,100,FilmDistrict,79
Drive Angry,R,104,Summit Entertainment,37
Drive Me Crazy,PG-13,91,20thCenturyFox,53
Driven,PG-13,117,Warner Bros.,33
Driving Lessons,PG-13,98,Sony,71
Drop Dead Fred,PG-13,103,New Line Cinema,77
Drop Dead Gorgeous,PG-13,99,New Line Cinema,75
Drumline,PG-13,118,20thCenturyFox,70
Drunken Master (Jui kuen),PG-13,107,Sony,85
Duck Soup,NR,70,Paramount,91
DuckTales: The Movie - Treasure of the Lost Lamp,G,73,Disney,69
"Dude, Where's My Car?",PG-13,83,20thCenturyFox,47
Dudley Do-Right,PG,77,Universal Pictures,23
Due Date,R,95,Warner Bros.,52
Duel,PG,95,Universal Pictures,84
Dumb and Dumber,PG-13,106,Warner Bros.,84
Dumb and Dumber To,PG-13,109,Universal Pictures,35
Dumb and Dumberer: When Harry Met Lloyd,PG-13,85,New Line Cinema,23
Dumbo,G,64,Disney,70
Dune,PG-13,137,MCA Universal Home Video,66
Dungeons & Dragons,PG-13,107,New Line Cinema,19
Dunkirk,PG-13,107,Warner Bros.,81
Dunston Checks In,PG,88,20thCenturyFox,40
Duplex,PG-13,89,Miramax Films,40
Duplicity,PG-13,125,Universal Pictures,37
D??j?ß Vu,PG-13,128,Buena Vista,73
E.T. The Extra-Terrestrial,PG,115,Universal Pictures,72
EDtv,PG-13,122,Universal Pictures,30
Eagle Eye,PG-13,118,Paramount,62
Eagle vs Shark,R,94,Miramax Films,67
Earth Girls Are Easy,PG,100,Vestron Pictures,42
Earth to Echo,PG,89,Relativity Media,47
Eastern Promises,R,100,Focus Features,83
Easy A,PG-13,93,Sony,77
Easy Rider,R,94,Columbia Pictures,82
Easy Virtue,PG-13,96,Sony,47
Eat Pray Love,PG-13,140,Sony,42
Ed Wood,R,124,Buena Vista,88
Eddie Murphy Raw,R,91,Paramount,85
Edge of Darkness,R,117,Warner Bros.,49
Edmond,R,82,First Independent Pictures,45
Edward Scissorhands,PG-13,105,20thCenturyFox,91
Efter brylluppet (After the Wedding),R,115,IFC Films,87
Eight Below,PG,120,Buena Vista,79
Eight Legged Freaks,PG-13,99,Warner Bros.,32
El Mariachi,R,82,Sony,76
Election,R,103,Paramount,79
Elegy,R,111,MGM,61
Elektra,PG-13,96,20thCenturyFox,29
Elephant,R,81,Fine Line Features,79
Elf,PG,97,New Line Cinema,79
Elizabeth,R,121,Gramercy Pictures,86
Elizabeth: The Golden Age,PG-13,115,Universal Pictures,59
Elizabethtown,PG-13,123,Paramount,66
Ella Enchanted,PG,101,Miramax Films,57
Elysium,R,109,TriStar Pictures,58
Emma,PG,121,Miramax Films,77
Empire Records,PG-13,100,Warner Bros.,84
Empire of the Sun,PG,152,Warner Bros.,90
Employee of the Month,PG-13,103,Lionsgate Films,53
Enchanted,PG,108,Disney,80
Encino Man,PG,89,Hollywood Pictures,56
Encounters at the End of the World,G,99,ThinkFilm,83
End of Days,R,120,Universal Pictures,32
End of Watch,R,109,Open Road Films,86
Ender's Game,PG-13,114,Summit Entertainment,65
Endless Love,PG-13,105,Universal Pictures,58
Enemy,R,90,A24,63
Enemy at the Gates,R,131,Paramount,82
Enemy of the State,R,127,Buena Vista,78
Enough,PG-13,110,Sony,67
Enough Said,PG-13,93,20thCenturyFox,75
Enron: The Smartest Guys in the Room,R,113,Magnolia Pictures,87
Enter the Dragon,R,99,Warner Bros.,92
Entourage,R,104,Warner Bros.,57
Entrapment,PG-13,112,20thCenturyFox,50
Envy,PG-13,99,Dreamworks,27
Epic,PG,103,20thCenturyFox,65
Epic Movie,R,81,20thCenturyFox,29
Equilibrium,R,107,Miramax Films,81
Eragon,PG,103,20thCenturyFox,47
Eraser,R,115,Warner Bros.,39
Erin Brockovich,R,131,Universal Pictures,81
Ernest Goes to Jail,PG,81,Touchstone Pictures,48
Ernest Saves Christmas,PG,86,Buena Vista,42
Ernest Scared Stupid,PG,91,Touchstone Pictures,50
Escape From Alcatraz,PG,107,Paramount,85
Escape From Planet Earth,PG,89,The Weinstein Company,54
Escape Plan,R,110,Summit Entertainment,55
Escape from New York,R,100,MGM,77
Escape to Witch Mountain,G,97,Buena Vista,59
Eternal Sunshine of the Spotless Mind,R,108,Focus Features,94
Eurotrip,R,89,Dreamworks,75
Evan Almighty,PG,96,Universal Pictures,52
Evening,PG-13,117,Focus Features,48
Event Horizon,R,95,Paramount,61
Ever After: A Cinderella Story,PG-13,122,20thCenturyFox,84
Everest,PG-13,121,Universal Pictures,68
Every Which Way But Loose,PG,119,Warner Bros.,55
Everybody Wants to Be Italian,R,105,Roadside Attractions,33
Everybody's Fine,PG-13,95,Miramax Films,53
Everyone's Hero,G,88,20thCenturyFox,44
Everything is Illuminated,PG-13,106,Warner Bros.,89
Evil Dead,R,91,TriStar Pictures,63
Evita,PG,134,Buena Vista,68
Evolution,PG-13,101,Dreamworks,48
Ex Machina,R,107,A24,86
Excalibur,R,119,Warner Bros.,80
Excess Baggage,PG-13,98,Sony,41
Existenz,R,97,Miramax Films,69
Exit Wounds,R,103,Warner Bros.,45
Exodus: Gods and Kings,PG-13,150,20thCenturyFox,35
Exorcist II: The Heretic,R,117,Warner Bros.,13
Exorcist: The Beginning,R,114,Warner Bros.,27
Extract,R,91,Miramax Films,38
Extraordinary Measures,PG,106,CBS,53
Extremely Loud & Incredibly Close,PG-13,129,Warner Bros.,61
Eyes Wide Shut,R,159,Warner Bros.,73
Face/Off,R,138,Paramount,82
Factory Girl,R,90,MGM,60
Fahrenheit 451,NR,112,Universal Pictures,72
Failure to Launch,PG-13,97,Paramount,52
Fair Game,PG-13,107,Summit Entertainment,65
Fallen,R,124,Warner Bros.,72
Falling Down,R,115,Warner Bros.,84
Fame(2009),PG,107,MGM,36
Fame(1980),R,134,Warner Bros.,69
Fanboys,PG-13,90,The Weinstein Company,57
Fantasia 2000,G,75,Buena Vista,75
Fantastic Beasts and Where to Find Them,PG-13,127,Warner Bros.,79
Fantastic Four(2005),PG-13,106,20thCenturyFox,45
Fantastic Four(2015),PG-13,100,20thCenturyFox,18
Fantastic Four: Rise of the Silver Surfer,PG,92,20thCenturyFox,51
Fantastic Mr. Fox,PG,88,20thCenturyFox,85
Far and Away,PG-13,140,Universal Pictures,62
Fargo,R,97,Gramercy Pictures,93
Fast & Furious,PG-13,107,Universal Pictures,67
Fast & Furious 6,PG-13,130,Universal Pictures,84
Fast & Furious Presents: Hobbs & Shaw,PG-13,138,Universal Pictures,88
Fast Five,PG-13,130,Universal Pictures,83
Fast Food Nation,R,116,20thCenturyFox,42
Fast Times At Ridgemont High,R,90,Universal Pictures,80
Faster,R,98,CBS,49
Fat Albert,PG,93,20thCenturyFox,44
Fatal Attraction,R,119,Paramount,72
Father of the Bride,PG,105,Touchstone Pictures,70
Father of the Bride: Part II,PG,106,Disney,60
Fear,R,96,Universal Pictures,63
Fear and Loathing in Las Vegas,R,119,Universal Pictures,89
Feardotcom,R,101,Warner Bros.,18
Feast of Love,R,102,MGM,55
Feel the Noise,PG-13,87,TriStar Pictures,42
Fences,PG-13,133,Paramount,75
FernGully - The Last Rainforest,G,76,20thCenturyFox,63
Ferris Bueller's Day Off,PG-13,103,Paramount,92
Fever Pitch,PG-13,103,20thCenturyFox,60
Fiddler on the Roof,G,181,United Artists Pictures,92
Fido,R,91,Roadside Attractions,72
Field of Dreams,PG,106,Universal Pictures,86
Fifty Shades Darker,R,118,Universal Pictures,48
Fifty Shades of Grey,R,125,Focus Features,41
Fight Club,R,139,20thCenturyFox,96
Fighting,PG-13,105,Rogue Pictures,36
Final Destination,R,97,New Line Cinema,68
Final Destination 2,R,90,New Line Cinema,58
Final Destination 3,R,92,New Line Cinema,57
Final Destination 5,R,92,Warner Bros.,52
Final Fantasy: The Spirits Within,PG-13,106,Columbia Pictures,48
Find Me Guilty,R,124,Yari Film Group,63
Finding Dory,PG,103,Disney,84
Finding Forrester,PG-13,133,Columbia Pictures,79
Finding Nemo,G,100,Disney,86
Finding Neverland,PG,106,Miramax Films,87
Fire Down Below,R,105,Warner Bros.,35
Fired Up,PG-13,89,Sony,52
Firehouse Dog,PG,111,20thCenturyFox,62
Firestarter,R,113,MCA Universal Home Video,53
Firewall,PG-13,105,Warner Bros.,37
First Blood,R,95,Orion Pictures Corporation,85
First Daughter,PG,105,20thCenturyFox,43
First Knight,PG-13,132,Sony,55
First Sunday,PG-13,98,Sony,57
Fist of Legend (Jing wu ying xiong),R,103,Dimension Films,92
Flags of Our Fathers,R,132,Paramount,69
Flash Gordon,PG,110,Universal Pictures,69
Flashdance,R,95,Paramount,61
Flatliners,R,111,Sony,59
Fletch,PG,98,MCA Universal Home Video,81
Flicka,PG,95,20thCenturyFox,82
Flight,R,138,Paramount,75
Flight of the Navigator,PG,89,Disney,75
Flight of the Phoenix,PG-13,112,20thCenturyFox,40
Flightplan,PG-13,98,Touchstone Pictures,48
Flipper(1963),G,90,MGM,49
Flipper(1996),PG,96,MCA Universal Home Video,34
Flubber,PG,93,Disney,33
Flushed Away,PG,85,Paramount,65
Fly Away Home,PG,107,Columbia Pictures,70
Flyboys,PG-13,139,MGM,67
Focus,R,105,Warner Bros.,53
"Food, Inc.",PG,94,Magnolia Pictures,86
Fool's Gold,PG-13,112,Warner Bros.,48
Fools Rush In,PG-13,108,Sony,64
Footloose(1984),PG,107,Paramount,71
Footloose(2011),PG-13,113,Paramount,61
For Colored Girls,R,134,Lionsgate Films,73
For Love of the Game,PG-13,137,Universal Pictures,75
For Richer or Poorer,PG-13,115,Universal Pictures,46
For Your Eyes Only,PG,127,20thCenturyFox,64
For a Few Dollars More (Per Qualche Dollaro in Pi??),R,132,MGM,94
"For a Good Time, Call...",R,86,Focus Features,53
Forces of Nature,PG-13,104,Dreamworks,35
Forever Young,PG,102,Warner Bros.,53
Forgetting Sarah Marshall,R,112,Universal Pictures,76
Forrest Gump,PG-13,142,Paramount,95
Four Brothers,R,108,Paramount,80
Four Christmases,PG-13,88,New Line Cinema,47
Four Rooms,R,102,Miramax Films,69
Four Weddings and a Funeral,R,116,Gramercy Pictures,74
Foxcatcher,R,134,Sony,66
Fracture,R,113,New Line Cinema,73
Frailty,R,99,Lionsgate Films,78
