movie_title,content_rating,runtime,production_company,audience_rating
About Schmidt,R,124,New Line Cinema,74
About Time,R,124,Universal Pictures,81
About a Boy,PG-13,100,Universal Pictures,55
Above the Law,R,99,Warner Bros.,48
Above the Rim,R,93,New Line Cinema,83
Abraham Lincoln: Vampire Hunter,R,105,20thCenturyFox,50
Absolute Power,R,120,Warner Bros.,52
Accepted,PG-13,93,Universal Pictures,72
Ace Ventura - When Nature Calls,PG-13,92,Warner Bros.,72
Ace Ventura: Pet Detective,PG-13,86,Warner Bros.,57
Across the Universe,PG-13,131,Sony,82
Act of Valor,R,109,Relativity Media,72
Adam Sandler's Eight Crazy Nights,PG-13,76,Columbia Pictures,49
Adaptation,R,114,Columbia Pictures,85
Addams Family Values,PG-13,93,Paramount,63
Addicted to Love,R,100,Warner Bros.,50
Admission,PG-13,117,Focus Features,32
Adventureland,R,106,Miramax Films,61
Adventures in Babysitting,PG-13,102,Touchstone Pictures,70
Aeon Flux,PG-13,95,Paramount,39
After Earth,PG-13,99,Sony,36
After the Sunset,PG-13,97,New Line Cinema,52
Agent Cody Banks,PG,102,MGM,32
Agent Cody Banks 2: Destination London,PG,100,MGM,31
Air America,R,112,Live Home Video,35
Air Bud 2 - Golden Receiver,G,90,Dimension Films,38
Air Force One,R,124,Columbia Pictures,66
Airplane 2 - The Sequel,PG,85,Paramount,50
Airplane!,PG,88,Paramount,89
Akeelah and the Bee,PG,112,Lionsgate Films,81
Aladdin(live),PG,128,Disney,94
Aladdin(an),G,90,Disney,92
Aladdin and the King of Thieves,NR,82,Warner Bros.,50
Alex & Emma,PG-13,96,Warner Bros.,41
Alex Cross,PG-13,101,Summit Entertainment,47
Alex Rider: Operation Stormbreaker,PG,93,The Weinstein Company,53
Alexander,R,175,Warner Bros.,35
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",PG,81,Disney,58
Alfie,R,106,Paramount,51
Ali,R,158,Columbia Pictures,65
Ali G Indahouse,R,88,Universal Pictures,54
Alice Through the Looking Glass,PG,113,Disney,48
Alice in Wonderland(old),PG,109,Disney,55
Alice in Wonderland(Live_action),PG,109,Disney,55
Alien,R,117,20thCenturyFox,94
Alien Resurrection,R,109,20thCenturyFox,39
Alien3,R,115,20thCenturyFox,47
Alien: Covenant,R,122,20thCenturyFox,55
Aliens,R,137,20thCenturyFox,94
Aliens in the Attic,PG,86,20thCenturyFox,43
